Date,Close
8/10/15,73.26
8/11/15,72.82
8/12/15,72.59
8/13/15,72.85
8/14/15,73.03
8/17/15,73.77
8/18/15,73.67
8/19/15,73.38
8/20/15,71.58
8/21/15,69.2
8/24/15,66.46
8/25/15,66.28
8/26/15,68.91
8/27/15,70.6
8/28/15,70.47
8/31/15,69.7
9/1/15,67.81
9/2/15,69.34
9/3/15,69.33
9/4/15,68.64
9/8/15,70.31
9/9/15,69.36
9/10/15,69.74
9/11/15,70.57
9/14/15,70.17
9/15/15,71.07
9/16/15,71.56
9/17/15,71.75
9/18/15,70.71
9/21/15,71.2
9/22/15,70.39
9/23/15,70.48
9/24/15,69.95
9/25/15,69.36
9/28/15,67.2
9/29/15,66.7
9/30/15,68.21
10/1/15,68.79
10/2/15,69.79
10/5/15,70.52
10/6/15,69.62
10/7/15,69.83
10/8/15,70.3
10/9/15,70.68
10/12/15,70.95
10/13/15,70.55
10/14/15,69.99
10/15/15,70.96
10/16/15,71.55
10/19/15,71.88
10/20/15,71.27
10/21/15,70.7
10/22/15,71.17
10/23/15,72.11
10/26/15,72.51
10/27/15,72.76
10/28/15,73.35
10/29/15,73.47
10/30/15,73.2
11/2/15,73.57
11/3/15,73.42
11/4/15,73.44
11/5/15,73.93
11/6/15,73.47
11/9/15,72.81
11/10/15,73.32
11/11/15,73.22
11/12/15,72.23
11/13/15,71.05
11/16/15,71.97
11/17/15,72.26
11/18/15,73.5
11/19/15,73.05
11/20/15,73.77
11/23/15,73.93
11/24/15,73.85
11/25/15,74.1
11/27/15,74.26
11/30/15,73.59
12/1/15,74.44
12/2/15,74.05
12/3/15,72.84
12/4/15,74.44
12/7/15,74.13
12/8/15,74.21
12/9/15,73.17
12/10/15,73.23
12/11/15,71.97
12/14/15,72.72
12/15/15,73.15
12/16/15,74.3
12/17/15,73.45
12/18/15,72.33
12/21/15,72.97
12/22/15,73.39
12/23/15,73.83
12/24/15,73.45
12/28/15,73.64
12/29/15,74.53
12/30/15,74.13
12/31/15,73.29
1/4/16,71.81
1/5/16,72.15
1/6/16,71.77
1/7/16,70.17
1/8/16,69.5
1/11/16,69.92
1/12/16,70.67
1/13/16,68.49
1/14/16,69.26
1/15/16,67.95
1/19/16,68.43
1/20/16,67.79
1/21/16,68.02
1/22/16,69.36
1/25/16,68.62
1/26/16,69.22
1/27/16,68.19
1/28/16,69.18
1/29/16,70.5
2/1/16,70.88
